Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($)
2018,Vermont,1.9,4.4,62.7,23.5,4.8,1.5,1.3,239.0,14.6,1.4,13.2,0.6,84.8,2.0,5.4,5.2,10.0,18.8,18.2,25.1,15.3,87.472,0.0
2018,Nevada,1.8,1.7,46.2,37.5,9.1,2.0,1.8,301.1,8.0,2.2,5.8,0.4,91.6,2.2,5.8,5.5,10.4,18.0,17.1,22.2,18.9,86.294,0.0
2018,West Virginia,6.6,23.3,57.6,10.0,1.7,0.4,0.3,147.1,9.4,1.2,8.1,0.4,90.2,2.7,8.7,8.3,13.4,20.8,14.6,20.1,11.3,70.059,0.2
2018,Oklahoma,5.3,19.2,60.5,10.7,2.5,0.9,0.9,156.0,6.2,2.0,4.1,0.2,93.6,2.1,6.3,6.1,11.1,20.0,17.8,21.2,15.3,80.386,0.1
2018,Wisconsin,2.4,10.7,64.1,17.5,3.5,1.0,0.7,195.9,15.7,2.9,12.8,0.5,83.8,1.4,4.9,5.0,9.6,19.3,18.3,24.8,16.7,87.899,0.0
2018,Puerto Rico,1.9,23.3,69.4,3.7,1.1,0.3,0.4,130.6,2.4,1.8,0.6,0.3,97.3,8.2,22.0,13.5,19.3,18.7,8.0,6.2,4.0,39.275,0.8
2018,Kansas,5.0,17.3,57.8,14.9,3.2,1.2,0.7,173.8,9.4,2.0,7.3,0.2,90.4,1.4,4.6,5.2,9.9,19.9,18.0,22.5,18.3,86.395,0.0
2018,Virginia,1.8,4.6,43.2,28.0,14.1,5.3,3.0,302.7,14.5,3.0,11.5,0.3,85.2,1.7,4.5,3.7,7.6,15.0,14.9,22.5,30.2,104.322,0.0
2018,North Dakota,4.0,7.5,61.2,20.3,4.8,1.7,0.4,226.0,9.8,1.7,8.1,0.4,89.8,1.1,2.3,3.4,7.5,18.3,18.9,29.2,19.2,97.677,0.0
2018,New Jersey,1.4,1.8,35.7,35.0,16.5,5.6,3.9,352.7,13.9,1.8,12.2,0.5,85.6,1.4,3.3,3.1,5.6,12.3,12.9,23.6,37.7,121.642,0.0
2018,Ohio,4.1,18.7,61.1,12.3,2.7,0.6,0.4,160.8,14.5,2.3,12.3,0.4,85.0,1.8,5.6,5.8,10.7,19.3,17.5,22.6,16.8,83.629,0.1
2018,South Carolina,4.8,12.1,58.3,16.6,5.4,1.4,1.4,194.1,10.1,1.5,8.6,0.3,89.6,2.6,7.2,7.1,11.1,20.2,16.5,19.4,16.0,77.141,0.1
2018,Georgia,3.4,10.4,57.3,19.6,6.2,1.8,1.4,208.8,9.7,2.4,7.3,0.3,90.0,2.7,5.7,5.6,9.5,17.6,15.6,21.6,21.6,88.772,0.1
2018,Colorado,1.4,1.8,27.4,41.6,18.5,5.7,3.5,383.4,13.0,2.5,10.4,0.3,86.8,1.8,3.8,4.3,7.8,15.6,15.8,24.1,26.9,101.056,0.0
2018,Hawaii,0.7,0.9,7.7,22.6,31.5,20.4,16.2,643.1,19.4,2.0,17.4,0.8,79.9,2.1,2.4,3.3,7.1,13.1,13.4,26.1,32.5,113.39,0.0
2018,South Dakota,4.9,11.0,63.3,16.3,3.2,0.8,0.6,188.8,9.6,1.7,7.9,0.4,90.0,0.8,3.5,5.8,11.2,19.8,23.5,23.1,12.4,83.662,0.1
2018,Indiana,4.5,20.1,60.9,10.9,2.5,0.7,0.4,153.8,11.7,1.7,9.9,0.4,88.0,1.9,6.4,6.4,11.4,20.8,18.3,21.3,13.5,78.796,0.1
2018,Kentucky,4.9,17.0,61.4,12.3,2.9,0.8,0.6,162.8,13.7,2.6,11.1,0.4,85.9,2.7,7.0,7.2,11.6,19.8,16.7,21.1,14.0,77.34,0.3
2018,Louisiana,4.4,11.9,63.3,15.2,3.4,0.9,0.9,184.9,8.0,2.3,5.7,0.3,91.7,2.7,7.7,6.6,9.8,17.8,16.3,21.9,17.1,81.863,0.1
2018,Washington,1.3,1.4,29.8,35.2,17.2,8.5,6.6,385.0,12.2,2.2,10.0,0.3,87.4,1.5,3.6,3.6,7.5,15.2,15.5,24.3,28.8,104.432,0.0
2018,Illinois,3.2,11.7,54.0,20.5,6.6,2.1,2.0,219.4,12.0,2.0,10.0,0.4,87.6,1.8,4.7,4.8,8.4,16.7,15.4,23.0,25.2,96.714,0.0
2018,Iowa,4.5,18.9,60.4,13.2,2.3,0.4,0.3,160.7,12.9,3.2,9.8,0.6,86.5,1.5,5.4,5.6,10.2,19.8,19.0,23.5,15.0,83.998,0.1
2018,New Hampshire,1.7,2.7,52.4,33.4,7.0,1.7,1.3,278.6,13.6,1.7,11.9,0.3,86.1,1.3,3.3,4.3,6.6,14.4,16.0,27.4,26.6,105.339,0.0
2018,Rhode Island,1.6,1.7,55.2,30.9,6.5,2.3,1.9,274.2,15.4,2.6,12.8,0.5,84.2,1.2,4.2,4.7,7.7,16.9,16.1,25.2,24.0,98.266,0.0
2018,Arkansas,6.3,21.7,58.1,10.3,1.9,1.0,0.7,148.3,6.7,2.0,4.7,0.1,93.2,2.9,8.2,7.4,12.6,20.0,15.2,19.9,13.8,73.522,0.3
2018,Delaware,1.6,2.9,54.6,32.2,5.4,1.8,1.5,267.0,12.4,2.2,10.2,0.3,87.3,2.4,6.2,4.8,8.9,19.4,15.6,22.5,20.3,87.168,0.1
2018,Minnesota,2.2,5.3,58.3,25.0,6.5,1.7,1.1,244.8,14.5,3.3,11.2,0.5,85.0,1.3,3.6,4.0,8.6,16.2,17.1,25.8,23.5,98.831,0.0
2018,Montana,3.1,4.5,52.9,26.8,8.6,2.3,1.8,262.4,9.7,2.1,7.6,0.6,89.7,1.8,6.6,5.8,11.6,21.9,17.7,20.2,14.4,77.282,0.0
2018,Arizona,2.5,4.1,55.8,26.2,7.4,2.2,1.8,256.6,9.4,1.7,7.6,0.4,90.2,2.3,5.9,5.5,10.4,19.1,16.3,21.2,19.3,84.628,0.1
2018,Florida,2.6,6.4,55.1,24.6,6.8,2.3,2.3,247.0,10.5,2.0,8.5,0.4,89.1,2.8,7.3,6.4,11.2,18.5,15.6,19.8,18.4,80.372,0.1
2018,Massachusetts,1.0,0.8,26.7,36.2,21.5,7.5,6.4,406.9,18.1,2.3,15.8,0.5,81.5,1.3,3.1,3.1,5.5,13.0,13.0,23.6,37.3,121.565,0.0
2018,District of Columbia,0.8,0.6,8.9,27.1,24.9,18.4,19.4,627.0,15.6,3.3,12.3,0.2,84.2,2.2,2.8,1.9,2.9,9.0,10.2,20.3,50.6,151.147,0.0
2018,Utah,1.9,1.2,44.5,37.5,10.4,2.8,1.7,310.0,14.7,3.7,11.0,0.6,84.7,1.0,3.7,4.3,8.1,19.1,18.3,26.2,19.3,93.06,0.0
2018,New York,2.2,8.0,34.6,23.8,15.9,7.5,8.0,341.9,13.8,1.5,12.2,0.4,85.8,1.7,4.2,3.9,6.8,14.3,14.2,23.3,31.6,108.546,0.1
