Year,State,Home Value <$50k (%),Home Value $50k-$90k (%),Home Value $100k-$149k (%),Home Value $150k-$199k (%),Home Value $200k-$299k (%),Home Value $300k-$499k (%),Home Value $500k+ (%),Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($)
2016,Minnesota,2.6,6.9,62.2,20.9,5.1,1.4,1.0,221.7,16.3,4.0,12.2,0.4,83.3,1.4,4.4,4.6,9.1,18.2,17.6,24.2,20.5,91.862,0.1
2016,Mississippi,9.0,24.9,55.8,7.7,1.6,0.5,0.6,137.3,8.1,2.5,5.6,0.2,91.7,3.9,9.5,8.3,12.3,20.3,17.2,17.4,11.0,68.744,0.1
2016,Missouri,5.1,17.3,61.7,11.5,3.0,0.9,0.6,161.7,11.3,2.9,8.3,0.3,88.5,2.1,5.9,6.7,12.5,20.8,17.7,20.2,14.2,77.479,0.1
2016,Montana,3.6,6.3,58.8,22.4,6.1,1.2,1.5,233.3,10.4,2.7,7.7,0.4,89.3,1.8,6.6,7.5,12.8,23.1,17.3,18.6,12.3,72.303,0.3
2016,Nebraska,3.8,15.9,65.5,11.6,2.2,0.6,0.4,158.0,11.1,3.0,8.1,0.5,88.4,1.2,4.4,5.4,10.7,20.3,17.9,24.0,16.0,85.963,0.0
2016,Nevada,1.8,4.6,59.1,25.9,5.6,1.6,1.5,246.7,10.1,2.7,7.4,0.5,89.4,2.6,5.6,6.6,11.3,21.1,17.3,20.8,14.7,78.642,0.0
2016,New Hampshire,2.2,2.9,58.7,28.1,5.9,1.2,1.1,259.6,16.3,2.5,13.8,0.4,83.4,1.1,3.3,3.9,6.6,17.6,17.8,24.6,25.2,99.597,0.0
2016,New Jersey,1.2,2.2,38.8,34.4,14.9,5.0,3.4,335.7,16.1,2.1,14.0,0.6,83.3,1.6,4.0,3.3,6.3,12.8,13.6,24.0,34.5,115.384,0.0
2016,New Mexico,4.2,11.2,65.2,14.3,3.1,1.5,0.5,179.8,9.0,3.7,5.4,0.3,90.7,3.9,10.0,6.5,13.2,20.4,16.0,17.9,12.1,68.849,0.1
2016,New York,2.3,9.0,35.6,26.0,14.5,5.6,6.9,321.8,15.6,1.9,13.7,0.5,83.9,1.8,4.3,4.5,7.6,15.3,15.1,23.6,27.8,101.607,0.0
2016,North Carolina,3.2,14.1,60.1,15.8,4.2,1.5,1.0,179.1,15.1,2.7,12.4,0.5,84.4,2.4,7.4,6.9,11.9,20.3,17.0,18.7,15.2,76.171,0.1
2016,North Dakota,4.6,10.3,62.3,17.9,3.0,1.0,0.8,207.0,10.5,2.5,8.0,1.1,88.4,1.0,3.8,4.2,9.3,18.6,19.1,28.1,16.0,90.238,0.0
2016,Ohio,4.9,22.2,59.9,9.7,2.2,0.6,0.5,149.4,16.0,2.7,13.2,0.5,83.6,2.0,6.3,5.9,11.7,21.1,17.4,21.2,14.5,78.868,0.1
2016,Oklahoma,6.3,21.3,59.7,9.0,2.4,0.6,0.6,148.9,6.4,2.5,3.9,0.2,93.3,2.6,7.1,6.8,11.9,20.8,17.4,19.8,13.6,76.096,0.1
2016,Oregon,1.9,2.6,45.3,33.4,11.8,3.3,1.8,301.2,14.1,2.9,11.2,0.4,85.5,1.6,5.6,5.4,9.9,19.8,16.7,22.8,18.3,85.793,0.0
2016,Pennsylvania,3.7,13.6,57.9,17.6,5.0,1.2,1.0,191.7,16.8,2.3,14.5,0.6,82.7,1.9,5.5,5.6,9.8,19.4,16.8,22.4,18.5,86.032,0.1
2016,Rhode Island,1.6,2.3,59.8,26.2,6.6,2.6,1.0,246.4,17.7,3.1,14.6,0.9,81.5,1.4,4.5,4.9,8.9,16.9,16.3,26.6,20.5,94.233,0.0
2016,South Carolina,4.9,15.3,59.4,13.3,4.6,1.3,1.2,170.5,11.3,2.3,9.0,0.3,88.4,2.7,7.4,7.3,13.0,20.9,16.8,19.0,12.9,72.908,0.1
2016,South Dakota,5.9,12.8,63.5,13.2,3.0,0.9,0.7,171.0,10.5,2.5,8.0,0.3,89.2,1.1,5.1,5.6,11.0,21.3,23.0,21.5,11.4,81.363,0.1
2016,Tennessee,4.6,16.7,59.6,13.1,3.9,1.3,0.8,166.7,10.5,2.7,7.8,0.4,89.1,2.4,7.5,7.9,12.5,21.6,16.4,18.6,13.0,72.255,0.2
2016,Texas,4.1,14.6,57.6,16.2,4.6,1.4,1.5,183.3,5.4,2.0,3.4,0.2,94.4,2.0,5.5,5.6,9.5,17.9,15.4,22.2,21.7,90.109,0.0
2016,Utah,1.5,1.9,59.6,27.4,6.6,1.8,1.2,253.2,14.0,4.1,9.8,0.4,85.6,1.4,3.6,4.6,9.9,22.1,18.8,23.4,16.2,85.961,0.0
2016,Vermont,2.1,5.5,63.8,21.4,4.7,1.6,0.9,228.8,17.2,1.6,15.5,0.4,82.4,1.7,6.2,6.3,10.2,20.3,17.9,22.5,14.9,81.958,0.0
2016,Virginia,1.8,5.0,46.2,25.9,13.2,4.9,3.0,285.8,16.6,3.5,13.0,0.6,82.8,1.7,4.6,4.8,8.6,16.1,14.9,22.2,27.2,98.918,0.1
2016,Washington,1.5,2.3,42.2,31.1,13.7,5.6,3.5,320.1,14.6,3.3,11.3,0.5,84.9,1.8,4.2,4.4,8.2,17.3,16.3,24.1,23.5,95.645,0.0
2016,West Virginia,6.9,23.8,58.4,8.7,1.2,0.6,0.4,144.5,10.8,2.2,8.6,0.4,88.8,2.8,9.1,7.5,13.3,21.0,17.3,19.0,10.0,70.639,0.4
2016,Wisconsin,2.7,12.6,66.2,14.3,2.9,0.8,0.5,179.8,16.7,3.6,13.1,0.6,82.6,1.6,5.1,5.3,10.7,21.1,18.8,23.1,14.4,82.406,0.0
2016,Wyoming,3.4,3.9,65.6,19.9,3.3,1.3,2.6,223.9,10.7,3.3,7.4,0.4,88.9,1.7,4.7,4.9,11.7,19.0,18.3,25.1,14.7,85.234,0.0
2016,Puerto Rico,1.4,21.5,71.0,4.7,0.7,0.3,0.4,134.3,2.3,1.7,0.7,0.2,97.5,7.9,22.2,14.3,18.8,18.7,8.3,5.9,3.9,38.01,0.5
