Current residence in --,Population 1 year and over,MOE,Same residence 1 year ago,MOE,"Different residence, same state 1 year ago",MOE,Different state of residence 1 year ago,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Total,MOE,Puerto Rico,MOE,U.S. Island Area,MOE,Foreign Country,MOE
Florida,"18,863,948","+/- 8,536","15,742,168","+/- 59,355","2,454,255","+/- 53,419","498,597","+/- 22,483","12,635","+/- 3,566","7,405","+/- 3,412","8,451","+/- 3,258","3,025","+/- 1,241","22,420","+/- 4,065","9,383","+/- 2,988","11,704","+/- 3,121","1,264",+/- 949,891,+/- 495,N/A,N/A,"38,658","+/- 6,270","3,639","+/- 2,081",312,+/- 268,"19,152","+/- 3,962","11,472","+/- 3,254","1,846","+/- 1,137","2,661","+/- 1,410","5,441","+/- 1,674","6,094","+/- 2,316","4,689","+/- 2,049","15,410","+/- 3,515","13,701","+/- 3,380","19,640","+/- 3,920","4,663","+/- 1,888","5,175","+/- 1,968","7,114","+/- 2,753",559,+/- 424,"3,857","+/- 2,208","3,527","+/- 1,810","4,324","+/- 1,798","25,206","+/- 6,219","1,376",+/- 781,"59,288","+/- 7,171","23,983","+/- 5,251",514,+/- 600,"18,191","+/- 3,264","2,600","+/- 1,168","3,315","+/- 2,046","20,821","+/- 4,267","5,002","+/- 2,668","11,953","+/- 2,956",716,"+/- 1,027","10,451","+/- 4,102","25,532","+/- 4,638","2,343","+/- 1,891","2,019","+/- 1,616","16,614","+/- 3,087","6,339","+/- 2,687","4,964","+/- 2,202","7,412","+/- 2,467",846,+/- 725,"168,928","+/- 14,572","21,611","+/- 5,621","2,643","+/- 1,361","144,674","+/- 12,266"
Georgia,"9,699,859","+/- 5,580","8,095,407","+/- 40,769","1,289,450","+/- 37,444","271,077","+/- 15,123","18,799","+/- 5,015","1,079",+/- 765,"4,292","+/- 1,849","2,112","+/- 1,366","14,949","+/- 3,387","2,325","+/- 1,399",709,+/- 455,619,+/- 606,364,+/- 283,"42,666","+/- 5,232",N/A,N/A,"1,006",+/- 883,126,+/- 139,"6,080","+/- 1,774","2,442","+/- 1,297",950,+/- 528,"4,513","+/- 2,909","3,686","+/- 1,708","6,541","+/- 3,121",408,+/- 269,"3,708","+/- 1,807","4,436","+/- 1,979","6,992","+/- 2,441","1,808","+/- 1,416","5,380","+/- 3,077","2,514",+/- 989,246,+/- 211,"4,144","+/- 3,300",774,+/- 559,132,+/- 150,"8,371","+/- 3,016",791,+/- 421,"14,454","+/- 4,681","19,138","+/- 3,931",201,+/- 221,"6,863","+/- 1,986","1,632","+/- 1,107",727,+/- 472,"5,791","+/- 1,896",337,+/- 504,"16,914","+/- 5,257",536,+/- 730,"16,898","+/- 3,610","15,760","+/- 3,421",793,"+/- 1,061",361,+/- 334,"9,438","+/- 3,336","3,701","+/- 1,532","1,340",+/- 778,"2,727","+/- 1,401",504,+/- 775,"43,925","+/- 5,368","1,635",+/- 841,992,"+/- 1,218","41,298","+/- 5,237"
Hawaii,"1,357,806","+/- 1,803","1,160,948","+/- 10,743","122,727","+/- 8,676","57,542","+/- 5,083","1,268",+/- 846,844,+/- 670,"2,900","+/- 1,208",242,+/- 260,"10,173","+/- 2,201",950,+/- 493,731,+/- 739,784,+/- 877,222,+/- 275,"3,160","+/- 1,311","2,519",+/- 956,N/A,N/A,112,+/- 199,"1,884",+/- 728,402,+/- 280,478,+/- 504,125,+/- 154,18,+/- 36,179,+/- 270,106,+/- 161,341,+/- 212,92,+/- 123,"1,303","+/- 1,067",933,+/- 750,371,+/- 391,308,+/- 219,85,+/- 140,91,+/- 95,"1,548",+/- 795,107,+/- 141,564,+/- 697,354,+/- 366,"4,246","+/- 2,556","2,307","+/- 1,256",32,+/- 54,970,+/- 677,685,+/- 502,"2,030","+/- 1,378",870,+/- 468,58,+/- 70,"1,681",+/- 919,0,+/- 187,636,"+/- 1,018","3,007","+/- 1,122","1,040",+/- 872,0,+/- 187,"2,523","+/- 1,318","3,790","+/- 1,075",312,+/- 306,147,+/- 159,14,+/- 23,"16,589","+/- 3,678",238,+/- 398,114,+/- 133,"16,237","+/- 3,632"
Idaho,"1,559,637","+/- 2,674","1,284,530","+/- 13,188","208,434","+/- 13,285","60,336","+/- 6,293",263,+/- 259,"4,510","+/- 2,938","3,543","+/- 1,771",224,+/- 188,"9,021","+/- 2,484","1,813","+/- 1,022",0,+/- 195,0,+/- 195,0,+/- 195,"1,733","+/- 1,210",275,+/- 234,254,+/- 314,N/A,N/A,390,+/- 342,296,+/- 352,318,+/- 424,479,+/- 503,120,+/- 170,51,+/- 110,0,+/- 195,0,+/- 195,396,+/- 625,615,+/- 524,566,+/- 352,62,+/- 106,384,+/- 304,"1,602",+/- 828,439,+/- 591,"3,581","+/- 1,400",129,+/- 123,84,+/- 78,141,+/- 229,419,+/- 399,263,+/- 435,"1,201","+/- 1,099",260,+/- 212,288,+/- 243,"7,170","+/- 1,894",343,+/- 265,0,+/- 195,55,+/- 90,842,"+/- 1,132",296,+/- 356,"1,303",+/- 952,"6,059","+/- 2,187",0,+/- 195,905,+/- 707,"8,991","+/- 2,313",0,+/- 195,165,+/- 174,487,+/- 340,"6,337","+/- 1,846",249,+/- 412,34,+/- 53,"6,054","+/- 1,758"
Illinois,"12,718,402","+/- 5,792","11,076,528","+/- 31,383","1,353,853","+/- 28,856","216,204","+/- 11,862","2,823","+/- 1,526","4,119","+/- 3,153","7,657","+/- 1,987","3,185","+/- 1,513","13,930","+/- 2,863","3,271","+/- 1,390","1,819",+/- 959,277,+/- 303,"1,440",+/- 708,"17,548","+/- 3,370","6,042","+/- 2,192","1,269",+/- 735,393,+/- 356,N/A,N/A,"23,491","+/- 5,269","8,420","+/- 1,581","2,533","+/- 1,130","5,569","+/- 1,718","1,315",+/- 761,693,+/- 510,"2,565",+/- 916,"3,507","+/- 1,540","10,274","+/- 2,032","4,496","+/- 1,177","1,521",+/- 581,"13,889","+/- 2,736",304,+/- 275,827,+/- 520,"2,454","+/- 1,187",590,+/- 334,"3,009","+/- 1,033","1,573","+/- 1,619","6,412","+/- 1,874","4,057","+/- 1,663",105,+/- 115,"8,384","+/- 1,627","1,002",+/- 552,792,+/- 426,"3,012","+/- 1,197",278,+/- 266,"1,582",+/- 783,"1,318","+/- 1,474","3,223","+/- 1,222","11,011","+/- 2,803",951,+/- 595,49,+/- 81,"5,233","+/- 2,524","3,075","+/- 1,254",352,+/- 288,"14,507","+/- 2,936",58,+/- 76,"71,817","+/- 6,607","2,387",+/- 715,76,+/- 79,"69,354","+/- 6,616"
Indiana,"6,437,155","+/- 3,841","5,478,683","+/- 24,180","809,158","+/- 21,392","127,874","+/- 8,918","1,562","+/- 1,293",371,+/- 324,"3,975","+/- 1,427","2,016","+/- 1,321","7,649","+/- 2,229","1,930",+/- 759,"1,227",+/- 698,79,+/- 134,0,+/- 190,"8,595","+/- 3,053","2,543","+/- 1,176","1,057",+/- 717,"1,368","+/- 1,278","23,071","+/- 4,221",N/A,N/A,916,+/- 468,"1,321",+/- 946,"10,177","+/- 2,220","2,241","+/- 1,537",275,+/- 388,480,+/- 256,952,+/- 703,"7,896","+/- 1,777","1,168",+/- 568,469,+/- 366,"1,824","+/- 1,033",34,+/- 62,622,+/- 491,511,+/- 338,90,+/- 152,651,+/- 348,504,+/- 410,"2,518",+/- 816,"3,038","+/- 1,840",70,+/- 94,"11,109","+/- 2,141",844,+/- 522,505,+/- 617,"3,998","+/- 1,871",49,+/- 84,"3,306","+/- 1,917",235,+/- 231,"3,879","+/- 1,292","6,326","+/- 2,074",123,+/- 127,530,+/- 349,"1,486",+/- 853,"1,028",+/- 744,216,+/- 194,"2,923","+/- 1,307",117,+/- 170,"21,440","+/- 4,553",132,+/- 220,121,+/- 141,"21,187","+/- 4,544"
Iowa,"3,027,718","+/- 2,514","2,573,313","+/- 16,682","370,554","+/- 15,638","70,405","+/- 5,539",207,+/- 259,967,+/- 651,"1,411",+/- 726,433,+/- 317,"3,297","+/- 1,022","2,891","+/- 1,129",424,+/- 628,0,+/- 155,0,+/- 155,707,+/- 455,"1,938","+/- 1,485",299,+/- 454,161,+/- 175,"13,725","+/- 2,238",349,+/- 204,N/A,N/A,"1,776",+/- 819,387,+/- 303,228,+/- 223,26,+/- 43,487,+/- 319,466,+/- 632,"1,687",+/- 954,"5,634","+/- 1,117",408,+/- 306,"3,649","+/- 1,188",370,+/- 338,"6,490","+/- 1,780","2,009","+/- 1,634",0,+/- 155,185,+/- 209,421,+/- 347,"2,361","+/- 1,104","1,760","+/- 1,268",604,+/- 377,993,+/- 482,532,+/- 417,811,+/- 476,388,+/- 292,65,+/- 108,172,+/- 200,"2,842",+/- 965,623,+/- 529,"2,334","+/- 1,235","1,482",+/- 940,38,+/- 71,720,+/- 854,856,+/- 577,115,+/- 181,"2,537",+/- 850,140,+/- 117,"13,446","+/- 2,997",57,+/- 115,44,+/- 68,"13,345","+/- 2,986"
Kansas,"2,833,584","+/- 2,851","2,372,033","+/- 15,236","362,782","+/- 14,847","83,640","+/- 7,144",434,+/- 310,108,+/- 84,"2,028",+/- 858,998,+/- 697,"4,743","+/- 2,121","5,030","+/- 1,611",412,+/- 519,74,+/- 85,128,+/- 141,"1,581",+/- 790,"1,146",+/- 666,287,+/- 282,264,+/- 358,"2,760","+/- 1,019",863,+/- 458,"1,715",+/- 888,N/A,N/A,"1,167",+/- 770,519,+/- 338,481,+/- 527,"3,180","+/- 2,454",28,+/- 49,"1,947","+/- 1,003",679,+/- 418,"1,517","+/- 1,370","22,033","+/- 4,568",270,+/- 255,"1,648",+/- 701,657,+/- 359,27,+/- 37,"1,189",+/- 724,769,+/- 810,780,+/- 411,"1,223",+/- 840,379,+/- 558,"1,616",+/- 901,"5,022","+/- 1,204",285,+/- 284,"1,494","+/- 1,815",180,+/- 261,"1,102",+/- 670,104,+/- 147,"1,066",+/- 496,"6,575","+/- 1,436",196,+/- 265,0,+/- 168,"1,986","+/- 1,018",772,+/- 459,0,+/- 168,893,+/- 575,"1,285",+/- 791,"15,129","+/- 2,288",775,"+/- 1,013",253,+/- 396,"14,101","+/- 2,164"
Kentucky,"4,316,297","+/- 3,382","3,686,232","+/- 19,523","505,741","+/- 18,525","110,031","+/- 9,177",925,+/- 441,0,+/- 189,"1,818",+/- 916,"1,058",+/- 778,"2,130","+/- 1,154",221,+/- 197,176,+/- 251,0,+/- 189,201,+/- 248,"7,400","+/- 1,965","2,725",+/- 892,63,+/- 80,36,+/- 69,"4,273","+/- 1,415","11,071","+/- 2,846",536,+/- 410,253,+/- 212,N/A,N/A,"1,399",+/- 906,71,+/- 137,"2,076","+/- 1,444","1,019",+/- 885,"3,178","+/- 1,248",475,+/- 415,"1,248",+/- 868,"2,793","+/- 1,158",216,+/- 238,471,+/- 517,"1,358",+/- 976,52,+/- 84,"1,289","+/- 1,472",553,+/- 370,"2,174","+/- 1,660","3,916","+/- 1,965",117,+/- 195,"19,617","+/- 3,115","1,256",+/- 853,459,+/- 328,"1,490",+/- 598,640,+/- 876,"1,387",+/- 814,0,+/- 189,"16,852","+/- 3,762","4,661","+/- 1,468",140,+/- 202,151,+/- 152,"5,154","+/- 1,719","1,121",+/- 614,"1,174",+/- 566,581,+/- 414,57,+/- 93,"14,293","+/- 2,809",192,+/- 262,0,+/- 189,"14,101","+/- 2,765"
Louisiana,"4,518,629","+/- 3,250","3,865,118","+/- 18,789","538,691","+/- 17,818","99,138","+/- 7,082","3,065","+/- 1,401",288,+/- 266,"2,010","+/- 1,529","2,774","+/- 1,144","3,957",+/- 898,"1,202",+/- 983,358,+/- 264,0,+/- 198,195,+/- 168,"5,193","+/- 2,120","4,425","+/- 1,541",688,+/- 808,230,+/- 269,"1,189",+/- 417,"1,549",+/- 827,468,+/- 441,312,+/- 466,"1,520","+/- 1,286",N/A,N/A,120,+/- 163,"1,221","+/- 1,058",439,+/- 255,"1,163",+/- 875,698,+/- 445,"10,255","+/- 2,829","1,375",+/- 565,278,+/- 364,176,+/- 198,994,+/- 623,15,+/- 26,453,+/- 269,"1,028",+/- 867,"1,360",+/- 849,"2,134","+/- 1,242",277,+/- 359,"2,641","+/- 2,281","4,235","+/- 3,044","1,531","+/- 1,577",455,+/- 473,268,+/- 395,"1,573","+/- 1,149",37,+/- 47,"2,495",+/- 938,"30,292","+/- 5,028",179,+/- 275,87,+/- 149,"2,055","+/- 1,060","1,075",+/- 504,110,+/- 123,339,+/- 372,357,+/- 541,"15,682","+/- 2,868",393,+/- 384,32,+/- 64,"15,257","+/- 2,813"
