Current residence in --,Population 1 year and over,MOE,Same residence 1 year ago,MOE,"Different residence, same state 1 year ago",MOE,Different state of residence 1 year ago,MOE,Alabama,MOE,Alaska,MOE,Arizona,MOE,Arkansas,MOE,California,MOE,Colorado,MOE,Connecticut,MOE,Delaware,MOE,District of Columbia ,MOE,Florida,MOE,Georgia,MOE,Hawaii,MOE,Idaho,MOE,Illinois,MOE,Indiana,MOE,Iowa,MOE,Kansas,MOE,Kentucky,MOE,Louisiana,MOE,Maine,MOE,Maryland,MOE,Massachusetts,MOE,Michigan,MOE,Minnesota,MOE,Mississippi,MOE,Missouri,MOE,Montana,MOE,Nebraska,MOE,Nevada,MOE,New Hampshire,MOE,New Jersey,MOE,New Mexico,MOE,New York,MOE,North Carolina,MOE,North Dakota,MOE,Ohio,MOE,Oklahoma,MOE,Oregon,MOE,Pennsylvania,MOE,Rhode Island,MOE,South Carolina,MOE,South Dakota,MOE,Tennessee,MOE,Texas,MOE,Utah,MOE,Vermont,MOE,Virginia,MOE,Washington,MOE,West Virginia,MOE,Wisconsin,MOE,Wyoming,MOE,Total,MOE,Puerto Rico,MOE,U.S. Island Area,MOE,Foreign Country,MOE
Florida,"20,772,371","+/- 8,045","17,554,348","+/- 46,036","2,402,381","+/- 46,730","566,476","+/- 18,973","9,389","+/- 1,941","1,400",+/- 672,"5,577","+/- 1,546","3,028","+/- 1,505","30,919","+/- 4,258","12,061","+/- 2,617","11,249","+/- 2,621","3,831","+/- 2,512",605,+/- 427,N/A,N/A,"38,800","+/- 5,474","2,092","+/- 1,473","1,359",+/- 910,"28,631","+/- 4,292","11,833","+/- 2,316","3,466","+/- 1,261","3,376","+/- 1,217","9,762","+/- 2,653","6,403","+/- 1,829","2,960","+/- 1,441","18,907","+/- 3,777","18,212","+/- 3,608","19,169","+/- 3,337","7,614","+/- 2,804","4,236","+/- 1,876","8,820","+/- 2,404",755,+/- 485,987,+/- 711,"4,681","+/- 1,991","5,887","+/- 1,995","27,892","+/- 5,178","2,811","+/- 1,422","63,722","+/- 7,787","23,270","+/- 5,111",702,+/- 624,"22,946","+/- 3,358","6,123","+/- 2,813","3,231","+/- 1,606","28,507","+/- 4,070","3,259","+/- 1,793","10,521","+/- 2,657",763,+/- 491,"12,023","+/- 2,611","31,625","+/- 4,594","6,063","+/- 2,906","2,816","+/- 1,217","28,232","+/- 4,616","6,176","+/- 1,803","2,187",+/- 834,"7,202","+/- 2,082",396,+/- 384,"249,166","+/- 15,822","28,538","+/- 6,571","2,847","+/- 2,026","217,781","+/- 13,578"
Georgia,"10,299,497","+/- 6,400","8,760,762","+/- 36,118","1,202,587","+/- 29,374","278,889","+/- 16,483","15,270","+/- 2,815",986,+/- 941,"6,218","+/- 2,226","2,055","+/- 1,012","12,052","+/- 2,299","4,981","+/- 1,863","2,216","+/- 1,294",997,"+/- 1,169","1,077",+/- 625,"47,035","+/- 7,044",N/A,N/A,"1,482",+/- 945,"1,825",+/- 841,"12,025","+/- 2,997","3,319","+/- 1,223","1,079",+/- 808,"5,213","+/- 3,888","2,226",+/- 861,"6,379","+/- 2,281",132,+/- 269,"4,027","+/- 1,419","2,834","+/- 1,845","5,249","+/- 1,752","2,591","+/- 1,698","4,597","+/- 1,719","4,008","+/- 2,255",61,+/- 106,650,+/- 448,349,+/- 304,975,+/- 985,"7,389","+/- 2,159","1,801","+/- 1,174","15,395","+/- 4,226","12,684","+/- 3,170",32,+/- 63,"9,472","+/- 3,393","2,285","+/- 1,042",718,+/- 437,"5,967","+/- 2,072",644,+/- 504,"15,269","+/- 3,659",132,+/- 218,"15,224","+/- 3,312","19,969","+/- 5,092","1,503",+/- 870,38,+/- 49,"11,256","+/- 3,502","2,649",+/- 989,420,+/- 447,"3,504","+/- 1,495",630,+/- 652,"57,259","+/- 6,329","3,345","+/- 1,584",306,+/- 294,"53,608","+/- 6,052"
Hawaii,"1,410,750","+/- 1,722","1,231,340","+/- 10,978","115,683","+/- 10,053","46,457","+/- 5,358",844,+/- 536,424,+/- 465,"1,666",+/- 815,48,+/- 78,"8,843","+/- 1,935","1,584",+/- 913,238,+/- 338,14,+/- 25,232,+/- 251,"2,460","+/- 1,133","2,915","+/- 2,146",N/A,N/A,466,+/- 486,"1,062",+/- 744,327,+/- 286,779,+/- 511,637,+/- 445,0,+/- 187,248,+/- 317,0,+/- 187,629,+/- 407,862,+/- 820,353,+/- 256,97,+/- 158,171,+/- 214,700,+/- 564,0,+/- 187,136,+/- 124,"1,525",+/- 819,0,+/- 187,125,+/- 154,784,+/- 664,804,+/- 555,"1,399",+/- 950,62,+/- 102,"1,053",+/- 557,0,+/- 187,"1,103",+/- 615,"1,218",+/- 781,5,+/- 12,"1,262",+/- 755,45,+/- 75,495,+/- 437,"4,078","+/- 1,641",962,"+/- 1,192",0,+/- 187,"2,656","+/- 1,731","2,837","+/- 1,168",0,+/- 187,213,+/- 240,96,+/- 165,"17,270","+/- 3,559",11,+/- 18,"1,572","+/- 1,101","15,687","+/- 3,219"
Idaho,"1,694,182","+/- 2,325","1,405,344","+/- 15,502","210,310","+/- 14,673","71,899","+/- 7,189",58,+/- 94,796,+/- 567,"1,523",+/- 696,265,+/- 312,"21,372","+/- 5,397","3,823","+/- 1,840",0,+/- 201,126,+/- 198,0,+/- 201,"1,833","+/- 2,178",444,+/- 432,765,+/- 826,N/A,N/A,357,+/- 432,169,+/- 262,0,+/- 201,0,+/- 201,269,+/- 281,281,+/- 290,270,+/- 446,305,+/- 342,0,+/- 201,630,+/- 704,348,+/- 342,261,+/- 428,"1,216","+/- 1,037",938,+/- 465,514,+/- 558,"2,195","+/- 1,080",0,+/- 201,70,+/- 109,570,+/- 376,598,+/- 342,"1,294",+/- 975,"1,900","+/- 1,289",407,+/- 280,227,+/- 287,"3,866","+/- 1,327",582,+/- 483,0,+/- 201,145,+/- 232,140,+/- 236,749,+/- 351,"3,685","+/- 1,923","7,226","+/- 2,218",0,+/- 201,612,+/- 898,"8,881","+/- 2,253",0,+/- 201,442,+/- 461,"1,747","+/- 1,076","6,629","+/- 2,456",67,+/- 117,0,+/- 201,"6,562","+/- 2,447"
Illinois,"12,659,328","+/- 5,300","11,026,895","+/- 37,393","1,365,922","+/- 33,966","195,092","+/- 11,000","1,682","+/- 1,024",270,+/- 216,"4,159","+/- 1,411","2,591",+/- 967,"16,046","+/- 2,525","5,172","+/- 2,315","1,860",+/- 925,120,+/- 133,995,+/- 558,"10,513","+/- 2,520","4,420","+/- 1,886",460,+/- 397,670,+/- 523,N/A,N/A,"16,998","+/- 2,496","8,837","+/- 2,057","1,212",+/- 517,"2,985","+/- 1,100","1,053",+/- 563,173,+/- 202,"2,681",+/- 994,"2,998",+/- 974,"10,793","+/- 2,179","5,286","+/- 2,208","2,409","+/- 1,502","16,147","+/- 3,106",187,+/- 185,"2,290","+/- 1,185","2,565","+/- 1,264",310,+/- 291,"3,698","+/- 1,248",632,+/- 731,"6,377","+/- 1,610","3,923","+/- 1,781",576,+/- 455,"6,736","+/- 1,484",686,+/- 372,962,+/- 581,"3,090","+/- 1,035",266,+/- 280,"1,848",+/- 937,686,+/- 689,"5,086","+/- 1,931","11,642","+/- 2,759","1,160",+/- 770,51,+/- 86,"4,127","+/- 1,645","4,846","+/- 1,503",130,+/- 201,"12,274","+/- 2,433",414,+/- 569,"71,419","+/- 5,809","1,829","+/- 1,082",0,+/- 190,"69,590","+/- 5,780"
Indiana,"6,591,598","+/- 4,170","5,633,171","+/- 21,965","792,487","+/- 21,997","142,290","+/- 8,504","1,216",+/- 801,131,+/- 144,948,+/- 543,852,+/- 536,"10,096","+/- 2,379","1,692",+/- 837,413,+/- 423,0,+/- 197,250,+/- 222,"9,027","+/- 1,941","4,224","+/- 1,748",424,+/- 404,39,+/- 71,"29,526","+/- 4,988",N/A,N/A,"1,825","+/- 1,106","1,590",+/- 975,"11,298","+/- 2,481","1,223",+/- 939,0,+/- 197,"1,093",+/- 569,957,+/- 585,"8,377","+/- 2,013","1,400",+/- 530,641,+/- 609,"1,288",+/- 742,192,+/- 253,518,+/- 441,919,+/- 620,69,+/- 137,"2,836","+/- 1,299","1,459","+/- 1,277","1,551",+/- 597,"3,293","+/- 1,673",78,+/- 162,"10,940","+/- 2,118","1,695","+/- 1,178",668,+/- 359,"1,341",+/- 462,0,+/- 197,962,+/- 609,372,+/- 277,"5,122","+/- 1,454","10,543","+/- 2,818","1,240",+/- 751,512,+/- 469,"1,867",+/- 734,"2,782","+/- 1,218","1,044","+/- 1,408","3,757","+/- 1,451",0,+/- 197,"23,650","+/- 3,542",144,+/- 155,93,+/- 126,"23,413","+/- 3,546"
Iowa,"3,106,880","+/- 2,770","2,654,666","+/- 12,669","362,905","+/- 12,692","77,072","+/- 4,978",817,+/- 577,629,+/- 344,"2,346","+/- 1,155",693,+/- 493,"2,625",+/- 848,"2,257",+/- 796,150,+/- 179,95,+/- 164,0,+/- 163,"3,945","+/- 1,540","2,475","+/- 1,190",266,+/- 247,"1,005",+/- 618,"12,997","+/- 1,987","1,390","+/- 1,042",N/A,N/A,"2,895","+/- 1,321",467,+/- 444,327,+/- 414,54,+/- 71,579,+/- 503,288,+/- 495,629,+/- 321,"6,834","+/- 1,709",164,+/- 199,"4,510","+/- 1,460",443,+/- 438,"6,639","+/- 1,783",874,+/- 856,46,+/- 80,205,+/- 210,138,+/- 141,306,+/- 213,"1,827","+/- 1,107",332,+/- 222,991,+/- 753,478,+/- 348,707,+/- 490,"1,418",+/- 710,158,+/- 213,411,+/- 266,"2,685","+/- 1,092","1,152",+/- 787,"3,315","+/- 1,172",489,+/- 513,227,+/- 175,774,+/- 648,"1,405","+/- 1,177",550,+/- 554,"3,011","+/- 1,313",54,+/- 65,"12,237","+/- 2,764",67,+/- 115,0,+/- 163,"12,170","+/- 2,750"
Kansas,"2,876,925","+/- 2,252","2,413,141","+/- 16,713","366,147","+/- 14,775","86,154","+/- 6,863",276,+/- 266,515,+/- 402,"1,404",+/- 687,"1,225",+/- 610,"6,511","+/- 2,781","5,871","+/- 2,455",412,+/- 389,0,+/- 177,5,+/- 10,"2,661",+/- 856,"2,490",+/- 983,419,+/- 348,54,+/- 65,"2,840","+/- 1,017","1,433",+/- 924,"2,119","+/- 1,034",N/A,N/A,168,+/- 174,580,+/- 423,24,+/- 31,623,+/- 611,417,+/- 557,378,+/- 254,679,+/- 401,552,+/- 754,"21,605","+/- 3,511",338,+/- 249,"2,939",+/- 976,785,+/- 643,338,+/- 537,408,+/- 327,493,+/- 490,"2,196","+/- 1,175","1,165",+/- 635,90,+/- 96,"2,044","+/- 1,329","6,508","+/- 1,813",333,+/- 285,674,+/- 434,0,+/- 177,0,+/- 177,729,+/- 662,788,+/- 440,"9,814","+/- 2,807",981,+/- 702,0,+/- 177,"1,029",+/- 650,801,+/- 579,0,+/- 177,317,+/- 193,123,+/- 214,"11,483","+/- 2,776",347,+/- 480,0,+/- 177,"11,136","+/- 2,612"
Kentucky,"4,404,279","+/- 3,412","3,721,100","+/- 18,613","563,721","+/- 16,774","103,985","+/- 7,510","2,851","+/- 1,437",506,+/- 623,333,+/- 215,342,+/- 301,"4,466","+/- 1,389",614,+/- 452,799,+/- 519,558,+/- 491,51,+/- 82,"6,318","+/- 1,935","2,654",+/- 988,222,+/- 274,31,+/- 53,"5,333","+/- 1,782","10,192","+/- 2,129",558,+/- 568,"1,068",+/- 816,N/A,N/A,"1,205",+/- 941,0,+/- 195,"1,413",+/- 629,555,+/- 459,"1,602",+/- 646,577,+/- 561,495,+/- 327,"1,643",+/- 754,169,+/- 221,570,+/- 421,215,+/- 234,292,+/- 289,730,+/- 470,"1,409","+/- 1,088","2,115","+/- 1,334","3,228","+/- 1,693",132,+/- 183,"19,493","+/- 3,639","1,345",+/- 925,368,+/- 398,"1,543",+/- 715,154,+/- 211,"1,473",+/- 947,73,+/- 115,"11,642","+/- 2,338","6,677","+/- 2,485",0,+/- 195,85,+/- 100,"2,453",+/- 814,"1,428",+/- 973,"2,140",+/- 899,"1,599",+/- 794,266,+/- 435,"15,473","+/- 2,667","1,402",+/- 974,0,+/- 195,"14,071","+/- 2,643"
Louisiana,"4,629,962","+/- 4,671","4,030,674","+/- 23,379","513,676","+/- 21,398","72,836","+/- 6,749","2,830","+/- 1,314",199,+/- 316,520,+/- 460,"3,289","+/- 1,540","5,534","+/- 1,492","1,575","+/- 1,083",407,+/- 419,0,+/- 214,100,+/- 166,"4,404","+/- 1,337","3,382","+/- 1,563",555,+/- 484,0,+/- 214,"1,829",+/- 924,327,+/- 214,472,+/- 557,581,+/- 530,443,+/- 303,N/A,N/A,0,+/- 214,756,+/- 471,350,+/- 278,"2,003","+/- 1,512",84,+/- 144,"9,011","+/- 2,928",975,+/- 820,347,+/- 475,141,+/- 192,237,+/- 276,595,+/- 539,522,+/- 535,298,+/- 368,"1,854",+/- 806,"1,931","+/- 1,077",363,+/- 498,983,+/- 604,912,+/- 597,265,+/- 319,883,+/- 471,48,+/- 66,903,+/- 695,16,+/- 32,"1,733","+/- 1,118","17,674","+/- 2,800",34,+/- 61,0,+/- 214,"2,073",+/- 838,623,+/- 450,261,+/- 321,319,+/- 236,195,+/- 313,"12,776","+/- 2,507",455,+/- 352,0,+/- 214,"12,321","+/- 2,434"
